GAME ID,DATE TIME,TIME,Location,Home Team,Road Team,Home Score,Road Score,Result,Home Team Logo,Road Team Logo
1182,4/5/2019,7:00 PM,Capital One Arena,Washington Wizards,San Antonio Spurs,,,,https://www.nba.com/assets/logos/teams/primary/web/WAS.svg,https://www.nba.com/assets/logos/teams/primary/web/SAS.svg
1183,4/5/2019,8:00 PM,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,,,,https://www.nba.com/assets/logos/teams/primary/web/IND.svg,https://www.nba.com/assets/logos/teams/primary/web/BOS.svg
1184,4/5/2019,8:00 PM,Toyota Center,Houston Rockets,New York Knicks,,,,https://www.nba.com/assets/logos/teams/primary/web/HOU.svg,https://www.nba.com/assets/logos/teams/primary/web/NYK.svg
1185,4/5/2019,8:00 PM,Target Center,Minnesota Timberwolves,Miami Heat,,,,https://www.nba.com/assets/logos/teams/primary/web/MIN.svg,https://www.nba.com/assets/logos/teams/primary/web/MIA.svg
1186,4/5/2019,8:00 PM,Chesapeake Energy Arena,Oklahoma City Thunder,Detroit Pistons,,,,https://www.nba.com/assets/logos/teams/primary/web/OKC.svg,https://www.nba.com/assets/logos/teams/primary/web/DET.svg
1187,4/5/2019,8:30 PM,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,,,,https://www.nba.com/assets/logos/teams/primary/web/DAL.svg,https://www.nba.com/assets/logos/teams/primary/web/MEM.svg
1188,4/5/2019,9:00 PM,Vivint Smart Home Arena,Utah Jazz,Sacramento Kings,,,,https://www.nba.com/assets/logos/teams/primary/web/UTA.svg,https://www.nba.com/assets/logos/teams/primary/web/SAC.svg
1189,4/5/2019,10:00 PM,Talking Stick Resort Arena,Phoenix Suns,New Orleans Pelicans,,,,https://www.nba.com/assets/logos/teams/primary/web/PHX.svg,https://www.nba.com/assets/logos/teams/primary/web/NOP.svg
1190,4/5/2019,10:30 PM,Pepsi Center,Denver Nuggets,Portland Trail Blazers,,,,https://www.nba.com/assets/logos/teams/primary/web/DEN.svg,https://www.nba.com/assets/logos/teams/primary/web/POR.svg
1191,4/5/2019,10:30 PM,ORACLE Arena,Golden State Warriors,Cleveland Cavaliers,,,,https://www.nba.com/assets/logos/teams/primary/web/GSW.svg,https://www.nba.com/assets/logos/teams/primary/web/CLE.svg
1192,4/5/2019,10:30 PM,Staples Center,LA Clippers,Los Angeles Lakers,,,,https://www.nba.com/assets/logos/teams/primary/web/LAC.svg,https://www.nba.com/assets/logos/teams/primary/web/LAL.svg
1193,4/6/2019,5:00 PM,Fiserv Forum,Milwaukee Bucks,Brooklyn Nets,,,,https://www.nba.com/assets/logos/teams/primary/web/MIL.svg,https://www.nba.com/assets/logos/teams/primary/web/BKN.svg
1194,4/6/2019,8:00 PM,United Center,Chicago Bulls,Philadelphia 76ers,,,,https://www.nba.com/assets/logos/teams/primary/web/CHI.svg,https://www.nba.com/assets/logos/teams/primary/web/PHI.svg
1195,4/7/2019,12:00 PM,Scotiabank Arena,Toronto Raptors,Miami Heat,,,,https://www.nba.com/assets/logos/teams/primary/web/TOR.svg,https://www.nba.com/assets/logos/teams/primary/web/MIA.svg
1196,4/7/2019,3:00 PM,Quicken Loans Arena,Cleveland Cavaliers,San Antonio Spurs,,,,https://www.nba.com/assets/logos/teams/primary/web/CLE.svg,https://www.nba.com/assets/logos/teams/primary/web/SAS.svg
1197,4/7/2019,3:30 PM,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,,,,https://www.nba.com/assets/logos/teams/primary/web/MIN.svg,https://www.nba.com/assets/logos/teams/primary/web/OKC.svg
1198,4/7/2019,4:00 PM,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,,,,https://www.nba.com/assets/logos/teams/primary/web/DET.svg,https://www.nba.com/assets/logos/teams/primary/web/CHA.svg
